	restaurante	seccion	platos	precios	platos_lower	seccion_lower
13	Morgana	POSTRE	LA TARTA DE QUESO DE MORGANA	6 €	la tarta de queso de morgana	postre
14	Morgana	POSTRE	CAÑITAS DO CARBALLIÑO	6 €	cañitas do carballiño	postre
15	Morgana	POSTRE	CHOCOLATE	6,5 €	chocolate	postre
0	Restaurante Arce	Entrante	Humo de abedul para carnes y pescados	10 €	humo de abedul para carnes y pescados	entrante
1	Restaurante Arce	Entrante	Alcachofas rellenas de seta encebollada al gratén de Foie	22 €	alcachofas rellenas de seta encebollada al gratén de foie	entrante
2	Restaurante Arce	Entrante	Seta fresca nacional de temporada	23 €	seta fresca nacional de temporada	entrante
3	Restaurante Arce	Plato	Atún rojo de la almadraba	35,5 €	atún rojo de la almadraba	plato
4	Restaurante Arce	Plato	Carne roja sobre parmentier trufado y salsa de setas	32,5 €	carne roja sobre parmentier trufado y salsa de setas	plato
5	Restaurante Arce	Plato	Nido de mollejas y cigalitas sobre salsa Bearnesa	27,3 €	nido de mollejas y cigalitas sobre salsa bearnesa	plato
6	Restaurante Arce	Plato	San Pedro con su jardinera de verduras sobre jugo de vainas	28,9 €	san pedro con su jardinera de verduras sobre jugo de vainas	plato
7	Restaurante Arce	Postre	Tarta tatín con helado de mantecado	10 €	tarta tatín con helado de mantecado	postre
8	Restaurante Arce	Postre	Milhojas de chocolate blanco o negro	10 €	milhojas de chocolate blanco o negro	postre
9	Restaurante Arce	seccion_bebidas	Botella de champán	55 €	botella de champán	seccion_bebidas
10	Restaurante Arce	seccion_bebidas	Copa de champán	9 €	copa de champán	seccion_bebidas
11	Restaurante Arce	seccion_bebidas	Café	3 €	café	seccion_bebidas
12	Restaurante Arce	seccion_bebidas	Botella de vino	20 €	botella de vino	seccion_bebidas
13	Restaurante Arce	seccion_bebidas	Copa de vino	3,5 €	copa de vino	seccion_bebidas
0	RESTAURANTE KRITIKOS	*Reserva de 1 hora y media*	Viernes, sábado y domingo comida los clientes con reserva deberan abandonar su mesa al haber transcurrido una hora y media. Cualquier duda al respecto contactar con el restaurante previamente.		viernes, sábado y domingo comida los clientes con reserva deberan abandonar su mesa al haber transcurrido una hora y media. cualquier duda al respecto contactar con el restaurante previamente.	*reserva de 1 hora y media*
1	RESTAURANTE KRITIKOS	Entrante	SPANAKOPITA	9,5 €	spanakopita	entrante
2	RESTAURANTE KRITIKOS	Entrante	TYRI SAGANAKI	11 €	tyri saganaki	entrante
3	RESTAURANTE KRITIKOS	Entrante	PIKILIA	10 €	pikilia	entrante
4	RESTAURANTE KRITIKOS	Entrante	KYOPOLOU	7,5 €	kyopolou	entrante
5	RESTAURANTE KRITIKOS	Entrante	PULPO A LA GRIEGA	18 €	pulpo a la griega	entrante
6	RESTAURANTE KRITIKOS	Entrante	ENSALADA MYKONOS	11,5 €	ensalada mykonos	entrante
7	RESTAURANTE KRITIKOS	Plato	EXOHIKO DE POLLO	14 €	exohiko de pollo	plato
8	RESTAURANTE KRITIKOS	Plato	MOUSAKA	14 €	mousaka	plato
9	RESTAURANTE KRITIKOS	Plato	PLATO KRITIKOS	17 €	plato kritikos	plato
10	RESTAURANTE KRITIKOS	Plato	RAPE ESTILO GRIEGO	16,5 €	rape estilo griego	plato
11	RESTAURANTE KRITIKOS	Plato	PLATO GYROS	13,5 €	plato gyros	plato
12	RESTAURANTE KRITIKOS	Plato	PARRILLADA DE CARNE PARA DOS	29 €	parrillada de carne para dos	plato
13	RESTAURANTE KRITIKOS	Postre	YOGURT GRIEGO	5,5 €	yogurt griego	postre
14	RESTAURANTE KRITIKOS	Postre	YIAURTOPITA	7 €	yiaurtopita	postre
15	RESTAURANTE KRITIKOS	Postre	HALVAS	7 €	halvas	postre
16	RESTAURANTE KRITIKOS	Postre	BAKLAVA	6 €	baklava	postre
17	RESTAURANTE KRITIKOS	seccion_bebidas	Café	1,2 €	café	seccion_bebidas
18	RESTAURANTE KRITIKOS	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
19	RESTAURANTE KRITIKOS	seccion_bebidas	Botella de vino	16 €	botella de vino	seccion_bebidas
20	RESTAURANTE KRITIKOS	seccion_bebidas	Copa de vino	2,6 €	copa de vino	seccion_bebidas
0	Roostiq	ENTRANTES FRIOS	Tomate pelado aliñado con ajitos	7 €	tomate pelado aliñado con ajitos	entrantes frios
1	Roostiq	ENTRANTES FRIOS	Ensaladilla rusa con pepinillos, aceitunas, pimiento asado y huevo de codorniz	7 €	ensaladilla rusa con pepinillos, aceitunas, pimiento asado y huevo de codorniz	entrantes frios
2	Roostiq	ENTRANTES FRIOS	Ensalada de wakame, salmón marinado, tomate y huevas	14 €	ensalada de wakame, salmón marinado, tomate y huevas	entrantes frios
3	Roostiq	ENTRANTES FRIOS	Sardina ahumada sobre tomate natural rayado (ud)	2 €	sardina ahumada sobre tomate natural rayado (ud)	entrantes frios
4	Roostiq	ENTRANTES FRIOS	Anchoa de Santoña	2 €	anchoa de santoña	entrantes frios
5	Roostiq	ENTRANTES FRIOS	Jamón ibérico de bellota JOSELITO	23 €	jamón ibérico de bellota joselito	entrantes frios
6	Roostiq	ENTRANTES FRIOS	Tabla de quesos artesanos	23 €	tabla de quesos artesanos	entrantes frios
7	Roostiq	ENTRANTES FRIOS	Tabla de embutidos ibéricos	23 €	tabla de embutidos ibéricos	entrantes frios
8	Roostiq	ENTRANTES FRIOS	Causa limeña de pollo	9 €	causa limeña de pollo	entrantes frios
9	Roostiq	ENTRANTES FRIOS	Titaina, tomate guisado con pimiento rojo y verde, atún y piñones	9 €	titaina, tomate guisado con pimiento rojo y verde, atún y piñones	entrantes frios
10	Roostiq	ENTRANTES FRIOS	Ensalada César	12 €	ensalada césar	entrantes frios
11	Roostiq	ENTRANTES FRIOS	Poke bowl de quinoa, langostinos, aguacate, pepino y vinagreta de curry rojo	14 €	poke bowl de quinoa, langostinos, aguacate, pepino y vinagreta de curry rojo	entrantes frios
12	Roostiq	ENTRANTES FRIOS	Ceviche de corvina y gamba roja	19 €	ceviche de corvina y gamba roja	entrantes frios
13	Roostiq	ENTRANTES FRIOS	Tiradito Mixto (corvina, pulpo y gamba roja)	20 €	tiradito mixto (corvina, pulpo y gamba roja)	entrantes frios
14	Roostiq	ENTRANTES FRIOS	Sardina ahumada sobre base de tomate natural	2 €	sardina ahumada sobre base de tomate natural	entrantes frios
15	Roostiq	ENTRANTES FRIOS	Ensalada de ahumados, cebolla roja y tartar de tomate	14 €	ensalada de ahumados, cebolla roja y tartar de tomate	entrantes frios
16	Roostiq	ENTRANTES CALIENTES	Patatas bravas con alioli y pimentón picante	7 €	patatas bravas con alioli y pimentón picante	entrantes calientes
17	Roostiq	ENTRANTES CALIENTES	Croqueta casera de jamón ibérico	1,5 €	croqueta casera de jamón ibérico	entrantes calientes
18	Roostiq	ENTRANTES CALIENTES	Bacalao rebozado con alioli suave de azafrán y cúrcuma	12 €	bacalao rebozado con alioli suave de azafrán y cúrcuma	entrantes calientes
19	Roostiq	ENTRANTES CALIENTES	Alitas de pollo estilo Selfie	7 €	alitas de pollo estilo selfie	entrantes calientes
20	Roostiq	ENTRANTES CALIENTES	Fingers de pollo de corral aromatizado con miel de caña y mostaza de Dijon	10 €	fingers de pollo de corral aromatizado con miel de caña y mostaza de dijon	entrantes calientes
21	Roostiq	ENTRANTES CALIENTES	Gambones confitados al ajillo con un toque de guindilla	10 €	gambones confitados al ajillo con un toque de guindilla	entrantes calientes
22	Roostiq	ENTRANTES CALIENTES	Habitas salteadas con sepietas	16 €	habitas salteadas con sepietas	entrantes calientes
23	Roostiq	ENTRANTES CALIENTES	Huevos rotos con jamón ibérico y foie	16 €	huevos rotos con jamón ibérico y foie	entrantes calientes
24	Roostiq	ENTRANTES CALIENTES	Croqueta casera de setas y gambas	1,5 €	croqueta casera de setas y gambas	entrantes calientes
25	Roostiq	ENTRANTES CALIENTES	Calamar andaluza con mayonesa de albahaca y lima	14 €	calamar andaluza con mayonesa de albahaca y lima	entrantes calientes
26	Roostiq	ENTRANTES CALIENTES	Sepietas a la plancha con salsa Dénia	12 €	sepietas a la plancha con salsa dénia	entrantes calientes
27	Roostiq	ENTRANTES CALIENTES	Verduras de temporada con salsa romescu	14 €	verduras de temporada con salsa romescu	entrantes calientes
28	Roostiq	ENTRANTES CALIENTES	Berenjenas a la andaluza con salsa de miel y mostaza	12 €	berenjenas a la andaluza con salsa de miel y mostaza	entrantes calientes
29	Roostiq	ENTRANTES CALIENTES	Corazones de alcachofa natural con virutas de jamón ibérico y aceite de trufa	14 €	corazones de alcachofa natural con virutas de jamón ibérico y aceite de trufa	entrantes calientes
30	Roostiq	ENTRANTES CALIENTES	Crujiente de langostino	2 €	crujiente de langostino	entrantes calientes
31	Roostiq	ENTRANTES CALIENTES	Pata de pulpo a la brasa con patata morada y pimentón de la Vera	16 €	pata de pulpo a la brasa con patata morada y pimentón de la vera	entrantes calientes
32	Roostiq	SELF FISH	Calamar fresco de playa a la plancha	14 €	calamar fresco de playa a la plancha	self fish
33	Roostiq	SELF FISH	Tartar de salmón y aguacate con sésamo, lima y alga wakame	16 €	tartar de salmón y aguacate con sésamo, lima y alga wakame	self fish
34	Roostiq	SELF FISH	Tartar de atún rojo y aguacate con sésamo, germinados, soja y alga wakame	19 €	tartar de atún rojo y aguacate con sésamo, germinados, soja y alga wakame	self fish
35	Roostiq	SELF FISH	Salmón al horno con salsa de cítricos y verduritas	16 €	salmón al horno con salsa de cítricos y verduritas	self fish
36	Roostiq	SELF FISH	Corvina a la plancha con salsa de pescado y verduritas	18 €	corvina a la plancha con salsa de pescado y verduritas	self fish
37	Roostiq	SELF FISH	Tataki de atún con algas wakame y soja	19 €	tataki de atún con algas wakame y soja	self fish
38	Roostiq	SELF MEAT	Hamburguesa de buey con parmesano, tomate y foie o Clásica	14 €	hamburguesa de buey con parmesano, tomate y foie o clásica	self meat
39	Roostiq	SELF MEAT	Magret de pato con salsa de ciruelas, kiwi glaseado y pera confitada	18 €	magret de pato con salsa de ciruelas, kiwi glaseado y pera confitada	self meat
40	Roostiq	SELF MEAT	Secreto ibérico con patatas a lo pobre, pimientos de padrón y coulis de miel y trufa	16 €	secreto ibérico con patatas a lo pobre, pimientos de padrón y coulis de miel y trufa	self meat
41	Roostiq	SELF MEAT	Entrecot de vaca vieja con sus patatas fritas y pimientos	19 €	entrecot de vaca vieja con sus patatas fritas y pimientos	self meat
42	Roostiq	SELF MEAT	Tataki de presa ibérica	19 €	tataki de presa ibérica	self meat
43	Roostiq	ARROCES Y PAELLAS	Paella valenciana	17 €	paella valenciana	arroces y paellas
44	Roostiq	ARROCES Y PAELLAS	Paella de sepias de playa, rape y alcachofas	18 €	paella de sepias de playa, rape y alcachofas	arroces y paellas
45	Roostiq	ARROCES Y PAELLAS	Paella de pulpo, setas y foie	18 €	paella de pulpo, setas y foie	arroces y paellas
46	Roostiq	ARROCES Y PAELLAS	Arroz negro	19 €	arroz negro	arroces y paellas
47	Roostiq	ARROCES Y PAELLAS	Arroz del senyoret	19 €	arroz del senyoret	arroces y paellas
48	Roostiq	ARROCES Y PAELLAS	Fideuá de marisco	19 €	fideuá de marisco	arroces y paellas
49	Roostiq	ARROCES Y PAELLAS	Paella de carabineros	24 €	paella de carabineros	arroces y paellas
50	Roostiq	ARROCES Y PAELLAS	Paella de bogavante	23 €	paella de bogavante	arroces y paellas
51	Roostiq	YOURSELF (Todos caseros)	Flan de queso con sirope de tofe	6 €	flan de queso con sirope de tofe	yourself (todos caseros)
52	Roostiq	YOURSELF (Todos caseros)	Tarta Árabe	6 €	tarta árabe	yourself (todos caseros)
53	Roostiq	YOURSELF (Todos caseros)	Fruta de temporada	4 €	fruta de temporada	yourself (todos caseros)
54	Roostiq	YOURSELF (Todos caseros)	Tarta de dulce de leche con helado de turrón	6 €	tarta de dulce de leche con helado de turrón	yourself (todos caseros)
55	Roostiq	YOURSELF (Todos caseros)	Brownie de chocolate con helado de vainilla	6 €	brownie de chocolate con helado de vainilla	yourself (todos caseros)
56	Roostiq	YOURSELF (Todos caseros)	Bizcocho templado de chocolate blanco y manzana con helado de leche merengada	6 €	bizcocho templado de chocolate blanco y manzana con helado de leche merengada	yourself (todos caseros)
57	Roostiq	YOURSELF (Todos caseros)	Cheesecake con fresas confitadas	6 €	cheesecake con fresas confitadas	yourself (todos caseros)
58	Roostiq	YOURSELF (Todos caseros)	Torrija de horchata con helado de vainilla	6 €	torrija de horchata con helado de vainilla	yourself (todos caseros)
59	Roostiq	YOURSELF (Todos caseros)	Canelón crujiente de manzana con helado (10 minutos)	6 €	canelón crujiente de manzana con helado (10 minutos)	yourself (todos caseros)
60	Roostiq	YOURSELF (Todos caseros)	Sorbete de mango/limón	5 €	sorbete de mango/limón	yourself (todos caseros)
61	Roostiq	YOURSELF (Todos caseros)	Helados	4 €	helados	yourself (todos caseros)
62	Roostiq	seccion_bebidas	Botella de champán	29 €	botella de champán	seccion_bebidas
63	Roostiq	seccion_bebidas	Copa de champán	7 €	copa de champán	seccion_bebidas
64	Roostiq	seccion_bebidas	Café	1,5 €	café	seccion_bebidas
65	Roostiq	seccion_bebidas	Media botella de agua	2,5 €	media botella de agua	seccion_bebidas
66	Roostiq	seccion_bebidas	Botella de vino	16 €	botella de vino	seccion_bebidas
67	Roostiq	seccion_bebidas	Copa de vino	2,5 €	copa de vino	seccion_bebidas
0	San Wich	Entrante	Ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)	9 €	ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)	entrante
1	San Wich	Entrante	Gazpacho de Betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa)	4,9 €	gazpacho de betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa)	entrante
2	San Wich	Entrante	Tomare Relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)	5,9 €	tomare relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)	entrante
3	San Wich	Plato	Hamburguesa de presa ibérica (presa aromatizada con trufa, queso Idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)	15,5 €	hamburguesa de presa ibérica (presa aromatizada con trufa, queso idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)	plato
4	San Wich	Plato	Sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)	8,5 €	sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)	plato
5	San Wich	Plato	As Diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)	6,75 €	as diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)	plato
6	San Wich	Postre	Alfajores	3 €	alfajores	postre
7	San Wich	Postre	Vasito de mousse de manjar (dulce de leche)	1,5 €	vasito de mousse de manjar (dulce de leche)	postre
8	San Wich	Postre	Vasito de mote con huesillo	1,5 €	vasito de mote con huesillo	postre
9	San Wich	seccion_bebidas	Media botella de agua	1,7 €	media botella de agua	seccion_bebidas
10	San Wich	seccion_bebidas	Copa de vino	2,5 €	copa de vino	seccion_bebidas
0	Sr. Ito	Entrantes	Tartar de Atún con aguacate	14,5 €	tartar de atún con aguacate	entrantes
1	Sr. Ito	Entrantes	Tartar de Salmón con aguacate	13,5 €	tartar de salmón con aguacate	entrantes
2	Sr. Ito	Entrantes	Misoshiru	4,5 €	misoshiru	entrantes
3	Sr. Ito	Entrantes	Edamame	5,5 €	edamame	entrantes
4	Sr. Ito	Entrantes	Tori Gyoza	7,5 €	tori gyoza	entrantes
5	Sr. Ito	Entrantes	Agedashi Tofu	7,5 €	agedashi tofu	entrantes
6	Sr. Ito	Entrantes	Ensalada Goma Wakame	6,5 €	ensalada goma wakame	entrantes
7	Sr. Ito	Entrantes	Tako Yaki	8 €	tako yaki	entrantes
8	Sr. Ito	Entrantes	Carpaccio de Dorada	10 €	carpaccio de dorada	entrantes
9	Sr. Ito	Comida Coreana	Kimchi	4,5 €	kimchi	comida coreana
10	Sr. Ito	Comida Coreana	Bulgogi	12,5 €	bulgogi	comida coreana
11	Sr. Ito	Comida Coreana	Tallarines de batata		tallarines de batata	comida coreana
12	Sr. Ito	Comida Coreana	Ohcingoh Bokum	13,5 €	ohcingoh bokum	comida coreana
13	Sr. Ito	Comida Coreana	Yukhoe	16 €	yukhoe	comida coreana
14	Sr. Ito	Comida Coreana	Jeyuk Bokkeum	12,5 €	jeyuk bokkeum	comida coreana
15	Sr. Ito	Comida Coreana	Dolsot Bibimbap	12,5 €	dolsot bibimbap	comida coreana
16	Sr. Ito	Comida Coreana	Hoedeopbap	12,5 €	hoedeopbap	comida coreana
17	Sr. Ito	Comida Coreana	Kimchi Jjigae	12,5 €	kimchi jjigae	comida coreana
18	Sr. Ito	Comida Coreana	Dakgangjeong	12 €	dakgangjeong	comida coreana
19	Sr. Ito	Comida Coreana	Tofu Kimchi	12 €	tofu kimchi	comida coreana
20	Sr. Ito	Comida Coreana	Kimchi Bokeumbap	12 €	kimchi bokeumbap	comida coreana
21	Sr. Ito	Comida Coreana	Haemul jeon	12 €	haemul jeon	comida coreana
22	Sr. Ito	Tallarines	Udon	12,5 €	udon	tallarines
23	Sr. Ito	Tallarines	Kakiage Udon	13,5 €	kakiage udon	tallarines
24	Sr. Ito	Tallarines	Yaki Soba	13,5 €	yaki soba	tallarines
25	Sr. Ito	Tallarines	Yaki Soba con verdura	12 €	yaki soba con verdura	tallarines
26	Sr. Ito	Tallarines	Yaki Soba con ternera	13,5 €	yaki soba con ternera	tallarines
27	Sr. Ito	Postres	Helado casero de té verde	3,5 €	helado casero de té verde	postres
28	Sr. Ito	Postres	Helado casero de judía roja	4 €	helado casero de judía roja	postres
29	Sr. Ito	Postres	Helado de sésamo negro	4,5 €	helado de sésamo negro	postres
30	Sr. Ito	Postres	Sorbete de Yuzu o con cava	6 €	sorbete de yuzu o con cava	postres
31	Sr. Ito	Sushi Nigiri	Maguro	6 €	maguro	sushi nigiri
32	Sr. Ito	Sushi Nigiri	Toro	9,5 €	toro	sushi nigiri
33	Sr. Ito	Sushi Nigiri	Maki Sushi Set	13,5 €	maki sushi set	sushi nigiri
34	Sr. Ito	Sushi Nigiri	Sushi variado	15,5 €	sushi variado	sushi nigiri
35	Sr. Ito	Sushi Nigiri	Sushi especialidad del chef	22 €	sushi especialidad del chef	sushi nigiri
36	Sr. Ito	Sushi Nigiri	Sake	5 €	sake	sushi nigiri
37	Sr. Ito	Sushi Nigiri	Hamachi	6 €	hamachi	sushi nigiri
38	Sr. Ito	Sushi Nigiri	Pez mantequilla	5 €	pez mantequilla	sushi nigiri
39	Sr. Ito	Sushi Nigiri	Kaibasira	6 €	kaibasira	sushi nigiri
40	Sr. Ito	Sushi Nigiri	Unagi	6,5 €	unagi	sushi nigiri
41	Sr. Ito	Sushi Nigiri	Langostino / Shrimp		langostino / shrimp	sushi nigiri
42	Sr. Ito	Sushi Nigiri	Gunkan Ikura	6,5 €	gunkan ikura	sushi nigiri
43	Sr. Ito	Sushi Nigiri	Gunkan Negi Toro	7 €	gunkan negi toro	sushi nigiri
44	Sr. Ito	Nori Makis	Kappa Maki	5 €	kappa maki	nori makis
45	Sr. Ito	Nori Makis	Unagi Maki	7,5 €	unagi maki	nori makis
46	Sr. Ito	Nori Makis	Teka Maki	8 €	teka maki	nori makis
47	Sr. Ito	Nori Makis	Sake Hoso Maki	7 €	sake hoso maki	nori makis
48	Sr. Ito	Nori Makis	Negitoro	10,5 €	negitoro	nori makis
49	Sr. Ito	Temakis	Atún con aguacate	7,5 €	atún con aguacate	temakis
50	Sr. Ito	Temakis	Salmón con huevas	6,5 €	salmón con huevas	temakis
51	Sr. Ito	Temakis	Anguila con pepino	7,5 €	anguila con pepino	temakis
52	Sr. Ito	Uramakis	California Rolls	12 €	california rolls	uramakis
53	Sr. Ito	Uramakis	Spicy Atún Roll	14 €	spicy atún roll	uramakis
54	Sr. Ito	Uramakis	Alaska Roll	13 €	alaska roll	uramakis
55	Sr. Ito	Uramakis	Philadelphia Roll	13,5 €	philadelphia roll	uramakis
56	Sr. Ito	Uramakis	Ebi fry	13,5 €	ebi fry	uramakis
57	Sr. Ito	Uramakis	Salmón Flambeado Roll	14 €	salmón flambeado roll	uramakis
58	Sr. Ito	Uramakis	Dragon Roll Flambeado	14,5 €	dragon roll flambeado	uramakis
59	Sr. Ito	Sashimi	Maguro	13,5 €	maguro	sashimi
60	Sr. Ito	Sashimi	Sake	12 €	sake	sashimi
61	Sr. Ito	Sashimi	Maguro y Sake	13,5 €	maguro y sake	sashimi
62	Sr. Ito	Sashimi	Pez mantequilla	12 €	pez mantequilla	sashimi
63	Sr. Ito	Sashimi	Sashimi variado	16,5 €	sashimi variado	sashimi
64	Sr. Ito	Sashimi	Sashimi especial del Chef	28 €	sashimi especial del chef	sashimi
65	Sr. Ito	Tempuras	Langostino	13 €	langostino	tempuras
66	Sr. Ito	Tempuras	Verduras	12,5 €	verduras	tempuras
67	Sr. Ito	Tempuras	Tempura mixta	14,5 €	tempura mixta	tempuras
68	Sr. Ito	Grill	Brocheta de langostino	7 €	brocheta de langostino	grill
69	Sr. Ito	Grill	Brocheta de Vieira	8,5 €	brocheta de vieira	grill
70	Sr. Ito	Grill	Yaki Tori	6 €	yaki tori	grill
71	Sr. Ito	Arroces	Arroz blanco	3,5 €	arroz blanco	arroces
72	Sr. Ito	Arroces	Sake Don	13 €	sake don	arroces
73	Sr. Ito	Arroces	Unagi Don	14 €	unagi don	arroces
74	Sr. Ito	seccion_bebidas	Café	2 €	café	seccion_bebidas
75	Sr. Ito	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
76	Sr. Ito	seccion_bebidas	Botella de vino	13,5 €	botella de vino	seccion_bebidas
77	Sr. Ito	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	Taberna El Buo	ENTRANTES	Huevos rotos de corral	10,5 €	huevos rotos de corral	entrantes
1	Taberna El Buo	ENTRANTES	Finguer de pollo	10 €	finguer de pollo	entrantes
2	Taberna El Buo	ENTRANTES	Verduras de temporada en tempura	8 €	verduras de temporada en tempura	entrantes
3	Taberna El Buo	ENTRANTES	Carpaccio de ternera	12 €	carpaccio de ternera	entrantes
4	Taberna El Buo	ENTRANTES	Croquetas caseras	10 €	croquetas caseras	entrantes
5	Taberna El Buo	ENTRANTES	Ración de queso	12 €	ración de queso	entrantes
6	Taberna El Buo	ENTRANTES	Ración de jamón de Trévelez	9 €	ración de jamón de trévelez	entrantes
7	Taberna El Buo	ENTRANTES	Tartar de atún	15 €	tartar de atún	entrantes
8	Taberna El Buo	ENTRANTES	Milhojas de mango y queso de cabra	11 €	milhojas de mango y queso de cabra	entrantes
9	Taberna El Buo	ENTRANTES	Tataki de atún con aguacate en tempura	15 €	tataki de atún con aguacate en tempura	entrantes
10	Taberna El Buo	ENTRANTES	CocaPizza	14 €	cocapizza	entrantes
11	Taberna El Buo	ENTRANTES	Alcachofas al Pedro Ximenez	12 €	alcachofas al pedro ximenez	entrantes
12	Taberna El Buo	CREMAS	Sopa de ajo	6 €	sopa de ajo	cremas
13	Taberna El Buo	CREMAS	Crema de setas y queso de cabra	6,5 €	crema de setas y queso de cabra	cremas
14	Taberna El Buo	ENSALDADAS	Ensalada Búho	8,5 €	ensalada búho	ensaldadas
15	Taberna El Buo	ENSALDADAS	Zalamandroña	10 €	zalamandroña	ensaldadas
16	Taberna El Buo	ENSALDADAS	Ensalada de vieiras y brotes tiernos	10 €	ensalada de vieiras y brotes tiernos	ensaldadas
17	Taberna El Buo	ENSALDADAS	Capresse	8 €	capresse	ensaldadas
18	Taberna El Buo	ENSALDADAS	Ensalada templada de setas y queso de cabra	9,5 €	ensalada templada de setas y queso de cabra	ensaldadas
19	Taberna El Buo	PESCADOS	Cocochas de bacalao	18 €	cocochas de bacalao	pescados
20	Taberna El Buo	PESCADOS	Ceviche de lubina	15 €	ceviche de lubina	pescados
21	Taberna El Buo	PESCADOS	Milhojas de atún y pimientos asados	18 €	milhojas de atún y pimientos asados	pescados
22	Taberna El Buo	PESCADOS	Salmón marinado	17 €	salmón marinado	pescados
23	Taberna El Buo	PESCADOS	Corvina con rissoto de arroz Venere	16 €	corvina con rissoto de arroz venere	pescados
24	Taberna El Buo	PESCADOS	Pulpo carolina	18 €	pulpo carolina	pescados
25	Taberna El Buo	PESCADOS	Bacalao gratinado con salsa de piquillos	17 €	bacalao gratinado con salsa de piquillos	pescados
26	Taberna El Buo	CARNES	Entrecot de ternera D. Origen Ávila	22 €	entrecot de ternera d. origen ávila	carnes
27	Taberna El Buo	CARNES	Paletilla de cordero al estilo segoviano	24 €	paletilla de cordero al estilo segoviano	carnes
28	Taberna El Buo	CARNES	Choto al estilo fonelas	18 €	choto al estilo fonelas	carnes
29	Taberna El Buo	CARNES	Rabo de toro	18 €	rabo de toro	carnes
30	Taberna El Buo	CARNES	Solomillo de Ternera	24 €	solomillo de ternera	carnes
31	Taberna El Buo	CARNES	Molleja al Pedro Ximenez	17 €	molleja al pedro ximenez	carnes
32	Taberna El Buo	CARNES	Carrillada	14 €	carrillada	carnes
33	Taberna El Buo	CARNES	Flamenquín de presa ibérica	16 €	flamenquín de presa ibérica	carnes
34	Taberna El Buo	CARNES	Rulo de cochinillo confitado con chalotas	24 €	rulo de cochinillo confitado con chalotas	carnes
35	Taberna El Buo	PLATOS POR ENCARGO	Sustentos	12 €	sustentos	platos por encargo
36	Taberna El Buo	PLATOS POR ENCARGO	Migas	12 €	migas	platos por encargo
37	Taberna El Buo	PLATOS POR ENCARGO	Gachas colorás picantes	15 €	gachas colorás picantes	platos por encargo
38	Taberna El Buo	POSTRES CASEROS	Postres caseros	4,5 €	postres caseros	postres caseros
39	Taberna El Buo	POSTRES CASEROS	Surtido de postres caseros (2 pax)	9 €	surtido de postres caseros (2 pax)	postres caseros
40	Taberna El Buo	seccion_bebidas	Botella de champán	10 €	botella de champán	seccion_bebidas
41	Taberna El Buo	seccion_bebidas	Café	1,5 €	café	seccion_bebidas
42	Taberna El Buo	seccion_bebidas	Botella de agua	2,5 €	botella de agua	seccion_bebidas
43	Taberna El Buo	seccion_bebidas	Botella de vino	8,5 €	botella de vino	seccion_bebidas
44	Taberna El Buo	seccion_bebidas	Copa de vino	2 €	copa de vino	seccion_bebidas
0	Tepic	Ensaladas	Ensalada Tepic	9,5 €	ensalada tepic	ensaladas
1	Tepic	Ensaladas	Ensalada de nopales	11 €	ensalada de nopales	ensaladas
2	Tepic	Entrante	Flauta de chicharrón de queso	8,5 €	flauta de chicharrón de queso	entrante
3	Tepic	Entrante	Nuestras quesadillas (trigo o maíz)	8,5 €	nuestras quesadillas (trigo o maíz)	entrante
4	Tepic	Entrante	Totopos Tepic	10,9 €	totopos tepic	entrante
5	Tepic	Entrante	Tostadas de pulpo	12,9 €	tostadas de pulpo	entrante
6	Tepic	Entrante	Panuchos yucatecos	11 €	panuchos yucatecos	entrante
7	Tepic	Entrante	Aguachile	16,9 €	aguachile	entrante
8	Tepic	Tacos Típicos	Tampiqueña de solomillo	24 €	tampiqueña de solomillo	tacos típicos
9	Tepic	Tacos Típicos	Tacos estilo Baja California	17,5 €	tacos estilo baja california	tacos típicos
10	Tepic	Tacos Típicos	Tacos al pastor	18,5 €	tacos al pastor	tacos típicos
11	Tepic	Tacos Típicos	Tacos de camarón al pastor	19,5 €	tacos de camarón al pastor	tacos típicos
12	Tepic	Tacos Típicos	Alambres	18 €	alambres	tacos típicos
13	Tepic	Tacos Típicos	Las carnitas	18 €	las carnitas	tacos típicos
